INITIALS,SURNAME,TITLE,POST-NOMINALS,SALUTATION,PARTY,ELECTORATE,MINISTRY,CONTACT ADDRESS LINE1,CONTACT ADDRESS LINE2,CONTACT ADDRESS LINE3,CONTACT ADDRESS SUBURB,CONTACT ADDRESS STATE,CONTACT ADDRESS POSTCODE,CONTACT ADDRESS POBOX ,CONTACT ADDRESS POBOX SUBURB,CONTACT ADDRESS POBOX STATE,CONTACT ADDRESS POBOX POSTCODE,CONTACT ADDRESS EMAIL,CONTACT ADDRESS PHONE,CONTACT ADDRESS FAX,CONTACT ADDRESS WEBSITE,MINISTERIAL OFFICE ADDRESS LINE1,MINISTERIAL OFFICE ADDRESS LINE2,MINISTERIAL OFFICE ADDRESS LINE3,MINISTERIAL OFFICE ADDRESS SUBURB,MINISTERIAL OFFICE ADDRESS STATE,MINISTERIAL OFFICE ADDRESS POSTCODE,MINISTERIAL OFFICE POBOX ,MINISTERIAL OFFICE POBOX SUBURB,MINISTERIAL OFFICE POBOX STATE,MINISTERIAL OFFICE POBOX POSTCODE,MINISTERIAL OFFICE EMAIL,MINISTERIAL OFFICE PHONE,MINISTERIAL OFFICE FAX,MINISTERIAL OFFICE WEBSITE,ALTERNATIVE OFFICE ADDRESS LINE1,ALTERNATIVE OFFICE ADDRESS LINE2,ALTERNATIVE OFFICE ADDRESS LINE3,ALTERNATIVE OFFICE ADDRESS SUBURB,ALTERNATIVE OFFICE ADDRESS STATE,ALTERNATIVE OFFICE ADDRESS POSTCODE,ALTERNATIVE OFFICE POBOX ,ALTERNATIVE OFFICE POBOX SUBURB,ALTERNATIVE OFFICE POBOX STATE,ALTERNATIVE OFFICE POBOX POSTCODE,ALTERNATIVE OFFICE EMAIL,ALTERNATIVE OFFICE PHONE,ALTERNATIVE OFFICE FAX,ALTERNATIVE OFFICE WEBSITE,OFFICE HOLDER
E.M.,Petinos,Ms,M.P.,Ms Petinos,Liberal Party,Miranda,,577 Kingsway,,,MIRANDA,NSW,2228,PO Box 510,MIRANDA,NSW,1490,miranda@parliament.nsw.gov.au,(02) 9525 6378,(02) 9540 2517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.,Piccoli,The Hon.,M.P. BEc LLB,Minister,The Nationals,Murray,Minister for Education,NSW Government Offices,104-110 Banna Avenue,,GRIFFITH,NSW,2680,,,,,murray@parliament.nsw.gov.au,(02) 6962 6644,(02) 6962 7725,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,office@piccoli.minister.nsw.gov.au,(02) 8574 5300,(02) 9339 5532,,228 Cressy Street,,,DENILIQUIN,NSW,2710,,,,,,(03) 5881 7034,(03) 5881 7839,,
G.M.,Piper,Mr,M.P.,Mr Piper,Independent,Lake Macquarie,,92 Victory Parade,,,TORONTO,NSW,2283,,,,,lakemacquarie@parliament.nsw.gov.au,(02) 4959 3200,(02) 4950 4076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.K.,Provest,Mr,M.P. CCM FAIM AICD JP,Mr Provest,The Nationals,Tweed,,103 Minjungbal Drive,,,TWEED HEADS SOUTH,NSW,2486,PO Box 6695,TWEED HEADS SOUTH,NSW,2486,tweed@parliament.nsw.gov.au,(07) 5523 4816,(07) 5523 4817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.,Robertson,Mr,M.P.,Mr Robertson,Australian Labor Party,Blacktown,,Shop 3063,Westpoint Shopping Centre,Flushcombe Road,BLACKTOWN,NSW,2148,,,,,blacktown@parliament.nsw.gov.au,(02) 9671 5222,(02) 9671 5266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J.,Roberts,The Hon.,M.P. MA (Comms),Minister,Liberal Party,Lane Cove,Minister for Industry Resources and Energy,Level 3 Suite 302,230 Victoria Road,,GLADESVILLE,NSW,2111,,,,,lanecove@parliament.nsw.gov.au,(02) 9817 4757,(02) 9817 5885,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,"<a href=""https://www.nsw.gov.au/ministercontactform/minister-resources-and-energy-and-special-minister-state"" target=""_new"">Contact the Minister for Resources and Energy and Special Minister of State</a>",(02) 8574 5600,(02) 9339 5544,,,,,,,,,,,,,,,,Leader of the House
J.T.,Rowell,Mr,M.P.,Mr Rowell,Liberal Party,Wollondilly,,Shop 1,117 Remembrance Drive,,TAHMOOR,NSW,2573,,,,,wollondilly@parliament.nsw.gov.au,(02) 4683 2622,(02) 4683 2595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J.,Sidoti,Mr,M.P.,Mr Sidoti,Liberal Party,Drummoyne,,128 Great North Road,,,FIVE DOCK,NSW,2046,,,,,drummoyne@parliament.nsw.gov.au,(02) 9713 2999,(02) 9713 2911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parliamentary Secretary
J.G.,Skinner,The Hon.,M.P.,Minister,Liberal Party,North Shore,Minister for Health,Suite 3,40 Yeo Street,,NEUTRAL BAY,NSW,2089,,,,,northshore@parliament.nsw.gov.au,(02) 9909 2594,(02) 9909 2654,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,office@skinner.minister.nsw.gov.au,(02) 8574 5700,(02) 9339 5502,,,,,,,,,,,,,,,,
K.,Smith,Ms,M.P.,Ms Smith,Australian Labor Party,Gosford,,20 Blackwall Road,,,WOY WOY,NSW,2256,,,,,gosford@parliament.nsw.gov.au,(02) 4342 4122,(02) 4341 2368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.F.,Smith,Ms,M.P.,Ms Smith,The Greens,Ballina,,Shop 1,7 Moon Street,,BALLINA,NSW,2478,,,,,ballina@parliament.nsw.gov.au,(02) 6686 7522,(02) 6686 7470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.R.,Speakman,The Hon.,M.P. SC,Minister,Liberal Party,Cronulla,Minister for the Environment; Minister for Heritage; and Assistant Minister for Planning,Suite 203,30 Kingsway,,CRONULLA,NSW,2230,,,,,cronulla@parliament.nsw.gov.au,(02) 9527 1477,(02) 9527 4180,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,office@speakman.minister.nsw.gov.au,(02) 8574 6390,(02) 9339 5542,,,,,,,,,,,,,,,,
R.G.,Stokes,The Hon.,M.P.,Minister,Liberal Party,Pittwater,Minister for Planning,1725 Pittwater Road,,,MONA VALE,NSW,2103,,,,,pittwater@parliament.nsw.gov.au,(02) 9999 3599,(02) 9999 0922,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,office@stokes.minister.nsw.gov.au,(02) 8574 6707,(02) 9339 5554,,,,,,,,,,,,,,,,
M.O.,Taylor,Mr,M.P. BPolicing(Prosec) DipLaw GradCertLegalPrac,Mr Taylor,Liberal Party,Seven Hills,,166 Best Road,,,SEVEN HILLS,NSW,2147,,,,,sevenhills@parliament.nsw.gov.au,(02) 9831 8022,(02) 9831 8044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.L.,Toole,The Hon.,M.P. DipTeach,Minister,The Nationals,Bathurst,Minister for Local Government,Suites 1 and 2,229 Howick Street,,BATHURST,NSW,2795,,,,,paul.toole@parliament.nsw.gov.au,(02) 6332 1300,(02) 6332 1900,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,office@toole.minister.nsw.gov.au,(02) 8574 7000,(02) 9339 5552,,,,,,,,,,,,,,,,
D.F.,Tudehope,Mr,M.P. BA/LLB,Mr Tudehope,Liberal Party,Epping,,Suite 303,Level 3 51 Rawson Street,,EPPING,NSW,2121,,,,,epping@parliament.nsw.gov.au,(02) 9877 0266,(02) 9877 0405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.C.,Upton,The Hon.,M.P. MBA BA LLB,Attorney General,Liberal Party,Vaucluse,Attorney General,330 New South Head Road,,,DOUBLE BAY,NSW,2028,,,,,vaucluse@parliament.nsw.gov.au,(02) 9326 1856,(02) 9328 1132,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,office@upton.minister.nsw.gov.au,(02) 8574 6107,(02) 9339 5546,,,,,,,,,,,,,,,,
G.J.,Ward,Mr,M.P. BA BCom MAICD JP,Mr Ward,Liberal Party,Kiama,,102 Terralong Street,,,KIAMA,NSW,2533,,,,,kiama@parliament.nsw.gov.au,(02) 4232 1082,(02) 4232 3577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parliamentary Secretary
G.C.,Warren,Mr,M.P. MBA,Mr Warren,Australian Labor Party,Campbelltown,,Shop 3,72 Queen Street,,CAMPBELLTOWN,NSW,2560,,,,,campbelltown@parliament.nsw.gov.au,(02) 4625 3344,(02) 4626 3640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.R.,Washington,Ms,M.P. BA LLB,Ms Washington,Australian Labor Party,Port Stephens,,1/82 Port Stephens Street,,,RAYMOND TERRACE,NSW,2324,,,,,portstephens@parliament.nsw.gov.au,(02) 4987 4455,(02) 4987 4466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.,Watson,Ms,M.P.,Ms Watson,Australian Labor Party,Shellharbour,,Shop 3,10 College Avenue Shellharbour City Centre,,SHELLHARBOUR,NSW,2529,,,,,shellharbour@parliament.nsw.gov.au,(02) 4297 3111,(02) 4297 3144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temporary Speaker
R.C.,Williams,Mr,M.P. MURP(Curtin),Mr Williams,Liberal Party,Castle Hill,,Suite 202 Rouse Hill Town Centre,10-14 Market Lane,,ROUSE HILL,NSW,2155,,,,,castlehill@parliament.nsw.gov.au,(02) 8882 9555,(02) 8882 9411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parliamentary Secretary
L.G.,Williams,The Hon.,M.P. BNurs DipTeach,Minister,The Nationals,Port Macquarie,Minister for Early Childhood Education; Minister for Aboriginal Affairs; and Assistant Minister for Education,Suite 6,27 Grant Street,,PORT MACQUARIE,NSW,2444,,,,,portmacquarie@parliament.nsw.gov.au,(02) 6584 0977,(02) 6584 0978,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,office@williams.minister.nsw.gov.au,(02) 8574 7390,(02) 9339 5556,,,,,,,,,,,,,,,,
G.,Zangari,Mr,M.P. BEd,Mr Zangari,Australian Labor Party,Fairfield,,55A Smart Street,,,FAIRFIELD,NSW,2165,PO Box 771,FAIRFIELD,NSW,1860,fairfield@parliament.nsw.gov.au,(02) 9726 9323,(02) 9726 9783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.,Ajaka,The Hon.,M.L.C.,Minister,Liberal Party,,Minister for Ageing; Minister for Disability Services; and Minister for Multiculturalism,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,office@ajaka.minister.nsw.gov.au,(02) 9230 3640,(02) 9230 3620,,52 Martin Place,,,Sydney,NSW,2000,GPO Box 5341,Sydney,NSW,2001,,(02) 8574 6400,(02) 9339 5514,,,,,,,,,,,,,,,,Deputy Leader of the Government in the Legislative Council
L.,Amato,The Hon.,M.L.C.,Mr Amato,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,lou.amato@parliament.nsw.gov.au,(02) 9230 2764,(02) 9230 2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.,Barham,Ms,M.L.C.,Ms Barham,The Greens,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,jan.barham@parliament.nsw.gov.au,(02) 9230 2603,(02) 9230 2766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temporary Chair of Committees
N. M.,Blair,The Hon.,M.L.C.,Minister,The Nationals,,Minister for Primary Industries; and Minister for Lands and Water,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,niall.blair@parliament.nsw.gov.au,(02) 9230 2467,(02) 9230 2997,,52 Martin Place,,,Sydney,NSW,2000,GPO Box 5341,Sydney,NSW,2001,office@blair.minister.nsw.gov.au,02 8574 7190,02 9339 5560,,,,,,,,,,,,,,,,
R.,Borsak,The Hon.,M.L.C.,Mr Borsak,Shooters and Fishers Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,robert.borsak@parliament.nsw.gov.au,(02) 9230 2850,(02) 9230 2613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. L.,Brown,The Hon.,M.L.C.,Mr Brown,Shooters and Fishers Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,robert.brown@parliament.nsw.gov.au,(02) 9230 3059,(02) 9230 2613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.,Buckingham,Mr,M.L.C.,Mr Buckingham,The Greens,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,jeremy.buckingham@parliament.nsw.gov.au,(02) 9230 2202,(02) 9230 3341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. J.,Clarke,The Hon.,M.L.C. LL B (Syd),Mr Clarke,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,david.clarke@parliament.nsw.gov.au,(02) 9230 2260,(02) 9230 3501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parliamentary Secretary
R. H.,Colless,The Hon.,M.L.C. HD App Sci(Agric),Mr Colless,The Nationals,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,rick.colless@parliament.nsw.gov.au,(02) 9230 2397,(02) 9230 3579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parliamentary Secretary
S.,Cotsis,The Hon.,M.L.C.,Ms Cotsis,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,sophie.cotsis@parliament.nsw.gov.au,(02) 9230 2080,(02) 9230 3056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. E.,Cusack,The Hon.,M.L.C. BEc(SocSc),Ms Cusack,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,catherine.cusack@parliament.nsw.gov.au,(02) 9230 2915,(02) 9230 2385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parliamentary Secretary
G. J.,Donnelly,The Hon.,M.L.C. BEc MIR,Mr Donnelly,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,greg.donnelly@parliament.nsw.gov.au,(02) 9230 2280,(02) 9230 2585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy Opposition Whip in the Legislative Council
S.,Farlow,The Hon.,M.L.C.,Mr Farlow,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,scott.farlow@parliament.nsw.gov.au,(02) 9230 3786,(02) 9230 3796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.,Faruqi,Dr,M.L.C. PhD MEngSc BE,Dr Faruqi,The Greens,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,mehreen.faruqi@parliament.nsw.gov.au,(02) 9230 2625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. C.,Franklin,The Hon.,M.L.C.,Mr Franklin,The Nationals,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,ben.franklin@parliament.nsw.gov.au,(02) 9230 3793,(02) 9230 3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy Government Whip in the Legislative Council
M. J.,Gallacher,The Hon.,M.L.C. BProf St,Mr,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,,(02) 9230 2302,(02) 9230 2980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. J.,Gay,The Hon.,M.L.C.,Minister,The Nationals,,Minister for Roads Maritime and Freight; and Vice-President of the Executive Council,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,,(02) 9230 2329,(02) 9230 2923,,52 Martin Place,,,Sydney,NSW,2000,GPO Box 5341,Sydney,NSW,2001,,(02) 8574 5500,(02) 9339 5534,,,,,,,,,,,,,,,,Leader of the Government in the Legislative Council; Leader of the House in the Legislative Council
P.,Green,The Hon.,M.L.C.,Mr Green,Christian Democratic Party (Fred Nile Group),,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,paul.green@parliament.nsw.gov.au,(02) 9230 3484,(02) 9230 2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temporary Chair of Committees
D. T.,Harwin,The Hon.,M.L.C. BEc(Hons),Mr Harwin,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,president@parliament.nsw.gov.au,(02) 9230 2300,(02) 9230 3518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,President of the Legislative Council of NSW
C.,Houssos,The Hon.,M.L.C.,Mrs Houssos,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,courtney.houssos@parliament.nsw.gov.au,(02) 9230 2694,(02) 9230 2677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.,Kaye,Dr,M.L.C.,Dr Kaye,The Greens,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,john.kaye@parliament.nsw.gov.au,(02) 9230 2668,(02) 9230 2586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.,Khan,The Hon.,M.L.C. B Juris LLB(UNSW),Mr Khan,The Nationals,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,trevor.khan@parliament.nsw.gov.au,(02) 9230 3491,(02) 9230 3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy President and Chair of Committees
S.,MacDonald,Mr,M.L.C.,Mr MacDonald,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,scot.macdonald@parliament.nsw.gov.au,(02) 9230 2393,(02) 9230 2366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parliamentary Secretary
N.M.A.,Maclaren-Jones,The Hon.,M.L.C. BN MHSM,Mrs Maclaren-Jones,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,natasha.maclaren-jones@parliament.nsw.gov.au,(02) 9230 2836,(02) 9230 2698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temporary Chair of Committees
M.S.,Mallard,The Hon.,M.L.C.,Mr Mallard,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,shayne.mallard@parliament.nsw.gov.au,(02) 9230 2434,(02) 9230 2884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. R.,Mason-Cox,The Hon.,M.L.C.,Mr Mason-Cox,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,,(02) 9230 3557,(02) 9230 3597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.,Mitchell,The Hon.,M.L.C.,Mrs Mitchell,The Nationals,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,sarah.mitchell@parliament.nsw.gov.au,(02) 9230 3499,(02) 9230 2348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parliamentary Secretary
D.,Mookhey,The Hon.,M.L.C.,Mr Mookhey,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,daniel.mookhey@parliament.nsw.gov.au,(02) 9230 2736,02) 9230 2759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.,Moselmane,The Hon.,M.L.C.,Mr Moselmane,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,shaoquett.moselmane@parliament.nsw.gov.au,(02) 9230 2526,(02) 9230 2722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opposition Whip in the Legislative Council
F. J.,Nile,Reverend the Hon.,M.L.C. ED LTh,Reverend Nile,Christian Democratic Party (Fred Nile Group),,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,F.Nile@parliament.nsw.gov.au,(02) 9230 2478,(02) 9230 2098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assistant President
G. S.,Pearce,The Hon.,M.L.C. BA LLB,Mr Pearce,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,,(02) 9230 2328,(02) 9230 3581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.,Pearson,The Hon.,M.L.C.,Mr Pearson,Animal Justice Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,mark.pearson@parliament.nsw.gov.au,(02) 9230 2445,(02) 9230 2599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. R.,Phelps,The Hon. Dr,M.L.C.,Dr Phelps,Liberal Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,peter.phelps@parliament.nsw.gov.au,(02) 9230 3462,(02) 9230 3568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Whip in the Legislative Council
P. T.,Primrose,The Hon.,M.L.C. B SocStud(Syd),Mr Primrose,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,peter.primrose@parliament.nsw.gov.au,(02 9230 2686,(02) 9230 3498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.,Searle,The Hon.,M.L.C.,Mr Searle,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,adam.searle@parliament.nsw.gov.au,(02) 9230 2160,(02) 9230 2522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leader of the Opposition in the Legislative Council
W.,Secord,The Hon.,M.L.C.,Mr Secord,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,walt.secord@parliament.nsw.gov.au,(02) 9230 2111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy Leader of the Opposition in the Legislative Council
P.G.,Sharpe,Ms,M.L.C.,Ms Sharpe,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,penny.sharpe@parliament.nsw.gov.au,(02) 9230 2741,(02) 9230 2589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. M.,Shoebridge,Mr,M.L.C.,Mr Shoebridge,The Greens,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,david.shoebridge@parliament.nsw.gov.au,(02) 9230 3030,(02) 9230 2159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.,Taylor,The Hon.,M.L.C.,Mrs Taylor,The Nationals,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,bronnie.taylor@parliament.nsw.gov.au,(02) 9230 3795,(02) 9230 2423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.,Veitch,The Hon.,M.L.C.,Mr Veitch,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,mick.veitch@parliament.nsw.gov.au,(02) 9230 2714,(02) 9230 2840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.,Voltz,The Hon.,M.L.C.,Ms Voltz,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,lynda.voltz@parliament.nsw.gov.au,(02) 9230 2970,(02) 9230 3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. K. C.,Wong,The Hon.,M.L.C.,Mr Wong,Australian Labor Party,,,Parliament House,Macquarie Street,,Sydney,NSW,2000,,,,,ernest.wong@parliament.nsw.gov.au,(02) 9230 2822,(02) 9230 3404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
